################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: xph2app003
#     Report Created on: Tue Jun  6 10:55:32 2017
#     Working Directory: /tp/xph2app/xph2app003/Prj_conception/Design/spy
#     Report Location  : ./spyglass-1/dft/dft_scan_ready/spyglass_reports/dft/Clock_11_capture/000/Clock_11_capture_violation_001.csv
#     SpyGlass Version : 5.6.0
#     Policy Name      : dft(5.6.0)
#     Comment          : Reports clock sources which are not controlled by testclock in capture mode
#
################################################################################
#CrossProbeTag:Clock_11_capture_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1
##Sheet_Prop: column_width:2@@50%,3@@20%

TagId,"Instance Name","Instance Type"
1,"CORDIC_top.cell6.\y_out_reg[7]\","Flip-flop"
2,"CORDIC_top.cell6.\y_out_reg[6]\","Flip-flop"
3,"CORDIC_top.cell6.\y_out_reg[5]\","Flip-flop"
4,"CORDIC_top.cell6.\y_out_reg[4]\","Flip-flop"
5,"CORDIC_top.cell6.\y_out_reg[3]\","Flip-flop"
6,"CORDIC_top.cell6.\y_out_reg[2]\","Flip-flop"
7,"CORDIC_top.cell6.\y_out_reg[1]\","Flip-flop"
8,"CORDIC_top.cell6.\y_out_reg[0]\","Flip-flop"
9,"CORDIC_top.cell6.\x_out_reg[7]\","Flip-flop"
10,"CORDIC_top.cell6.\x_out_reg[6]\","Flip-flop"
11,"CORDIC_top.cell6.\x_out_reg[5]\","Flip-flop"
12,"CORDIC_top.cell6.\x_out_reg[4]\","Flip-flop"
13,"CORDIC_top.cell6.\x_out_reg[3]\","Flip-flop"
14,"CORDIC_top.cell6.\x_out_reg[2]\","Flip-flop"
15,"CORDIC_top.cell6.\x_out_reg[1]\","Flip-flop"
16,"CORDIC_top.cell6.\x_out_reg[0]\","Flip-flop"
17,"CORDIC_top.cell6.\z_out_reg[7]\","Flip-flop"
18,"CORDIC_top.cell6.\z_out_reg[6]\","Flip-flop"
19,"CORDIC_top.cell6.\z_out_reg[5]\","Flip-flop"
20,"CORDIC_top.cell6.\z_out_reg[4]\","Flip-flop"
21,"CORDIC_top.cell6.\z_out_reg[3]\","Flip-flop"
22,"CORDIC_top.cell6.\z_out_reg[2]\","Flip-flop"
23,"CORDIC_top.cell6.\z_out_reg[1]\","Flip-flop"
24,"CORDIC_top.cell6.\z_out_reg[0]\","Flip-flop"
25,"CORDIC_top.cell5.\y_out_reg[7]\","Flip-flop"
26,"CORDIC_top.cell5.\y_out_reg[6]\","Flip-flop"
27,"CORDIC_top.cell5.\y_out_reg[5]\","Flip-flop"
28,"CORDIC_top.cell5.\y_out_reg[4]\","Flip-flop"
29,"CORDIC_top.cell5.\y_out_reg[3]\","Flip-flop"
30,"CORDIC_top.cell5.\y_out_reg[2]\","Flip-flop"
31,"CORDIC_top.cell5.\y_out_reg[1]\","Flip-flop"
32,"CORDIC_top.cell5.\y_out_reg[0]\","Flip-flop"
33,"CORDIC_top.cell5.\x_out_reg[7]\","Flip-flop"
34,"CORDIC_top.cell5.\x_out_reg[6]\","Flip-flop"
35,"CORDIC_top.cell5.\x_out_reg[5]\","Flip-flop"
36,"CORDIC_top.cell5.\x_out_reg[4]\","Flip-flop"
37,"CORDIC_top.cell5.\x_out_reg[3]\","Flip-flop"
38,"CORDIC_top.cell5.\x_out_reg[2]\","Flip-flop"
39,"CORDIC_top.cell5.\x_out_reg[1]\","Flip-flop"
40,"CORDIC_top.cell5.\x_out_reg[0]\","Flip-flop"
41,"CORDIC_top.cell5.\z_out_reg[7]\","Flip-flop"
42,"CORDIC_top.cell5.\z_out_reg[6]\","Flip-flop"
43,"CORDIC_top.cell5.\z_out_reg[5]\","Flip-flop"
44,"CORDIC_top.cell5.\z_out_reg[4]\","Flip-flop"
45,"CORDIC_top.cell5.\z_out_reg[3]\","Flip-flop"
46,"CORDIC_top.cell5.\z_out_reg[2]\","Flip-flop"
47,"CORDIC_top.cell5.\z_out_reg[1]\","Flip-flop"
48,"CORDIC_top.cell5.\z_out_reg[0]\","Flip-flop"
49,"CORDIC_top.cell4.\y_out_reg[7]\","Flip-flop"
50,"CORDIC_top.cell4.\y_out_reg[6]\","Flip-flop"
51,"CORDIC_top.cell4.\y_out_reg[5]\","Flip-flop"
52,"CORDIC_top.cell4.\y_out_reg[4]\","Flip-flop"
53,"CORDIC_top.cell4.\y_out_reg[3]\","Flip-flop"
54,"CORDIC_top.cell4.\y_out_reg[2]\","Flip-flop"
55,"CORDIC_top.cell4.\y_out_reg[1]\","Flip-flop"
56,"CORDIC_top.cell4.\y_out_reg[0]\","Flip-flop"
57,"CORDIC_top.cell4.\x_out_reg[7]\","Flip-flop"
58,"CORDIC_top.cell4.\x_out_reg[6]\","Flip-flop"
59,"CORDIC_top.cell4.\x_out_reg[5]\","Flip-flop"
60,"CORDIC_top.cell4.\x_out_reg[4]\","Flip-flop"
61,"CORDIC_top.cell4.\x_out_reg[3]\","Flip-flop"
62,"CORDIC_top.cell4.\x_out_reg[2]\","Flip-flop"
63,"CORDIC_top.cell4.\x_out_reg[1]\","Flip-flop"
64,"CORDIC_top.cell4.\x_out_reg[0]\","Flip-flop"
65,"CORDIC_top.cell4.\z_out_reg[7]\","Flip-flop"
66,"CORDIC_top.cell4.\z_out_reg[6]\","Flip-flop"
67,"CORDIC_top.cell4.\z_out_reg[5]\","Flip-flop"
68,"CORDIC_top.cell4.\z_out_reg[4]\","Flip-flop"
69,"CORDIC_top.cell4.\z_out_reg[3]\","Flip-flop"
70,"CORDIC_top.cell4.\z_out_reg[2]\","Flip-flop"
71,"CORDIC_top.cell4.\z_out_reg[1]\","Flip-flop"
72,"CORDIC_top.cell4.\z_out_reg[0]\","Flip-flop"
73,"CORDIC_top.cell3.\y_out_reg[7]\","Flip-flop"
74,"CORDIC_top.cell3.\y_out_reg[6]\","Flip-flop"
75,"CORDIC_top.cell3.\y_out_reg[5]\","Flip-flop"
76,"CORDIC_top.cell3.\y_out_reg[4]\","Flip-flop"
77,"CORDIC_top.cell3.\y_out_reg[3]\","Flip-flop"
78,"CORDIC_top.cell3.\y_out_reg[2]\","Flip-flop"
79,"CORDIC_top.cell3.\y_out_reg[1]\","Flip-flop"
80,"CORDIC_top.cell3.\y_out_reg[0]\","Flip-flop"
81,"CORDIC_top.cell3.\x_out_reg[7]\","Flip-flop"
82,"CORDIC_top.cell3.\x_out_reg[6]\","Flip-flop"
83,"CORDIC_top.cell3.\x_out_reg[5]\","Flip-flop"
84,"CORDIC_top.cell3.\x_out_reg[4]\","Flip-flop"
85,"CORDIC_top.cell3.\x_out_reg[3]\","Flip-flop"
86,"CORDIC_top.cell3.\x_out_reg[2]\","Flip-flop"
87,"CORDIC_top.cell3.\x_out_reg[1]\","Flip-flop"
88,"CORDIC_top.cell3.\x_out_reg[0]\","Flip-flop"
89,"CORDIC_top.cell3.\z_out_reg[7]\","Flip-flop"
90,"CORDIC_top.cell3.\z_out_reg[6]\","Flip-flop"
91,"CORDIC_top.cell3.\z_out_reg[5]\","Flip-flop"
92,"CORDIC_top.cell3.\z_out_reg[4]\","Flip-flop"
93,"CORDIC_top.cell3.\z_out_reg[3]\","Flip-flop"
94,"CORDIC_top.cell3.\z_out_reg[2]\","Flip-flop"
95,"CORDIC_top.cell3.\z_out_reg[1]\","Flip-flop"
96,"CORDIC_top.cell3.\z_out_reg[0]\","Flip-flop"
97,"CORDIC_top.cell2.\y_out_reg[7]\","Flip-flop"
98,"CORDIC_top.cell2.\y_out_reg[6]\","Flip-flop"
99,"CORDIC_top.cell2.\y_out_reg[5]\","Flip-flop"
100,"CORDIC_top.cell2.\y_out_reg[4]\","Flip-flop"
101,"CORDIC_top.cell2.\y_out_reg[3]\","Flip-flop"
102,"CORDIC_top.cell2.\y_out_reg[2]\","Flip-flop"
103,"CORDIC_top.cell2.\y_out_reg[1]\","Flip-flop"
104,"CORDIC_top.cell2.\y_out_reg[0]\","Flip-flop"
105,"CORDIC_top.cell2.\x_out_reg[7]\","Flip-flop"
106,"CORDIC_top.cell2.\x_out_reg[6]\","Flip-flop"
107,"CORDIC_top.cell2.\x_out_reg[5]\","Flip-flop"
108,"CORDIC_top.cell2.\x_out_reg[4]\","Flip-flop"
