################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: xph2app003
#     Report Created on: Tue Jun  6 10:55:32 2017
#     Working Directory: /tp/xph2app/xph2app003/Prj_conception/Design/spy
#     Report Location  : ./spyglass-1/dft/dft_scan_ready/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : 5.6.0
#     Policy Name      : dft(5.6.0)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Initialized, Shift-Sim, Capture-Sim
3, CORDIC_top.cell1.\z_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
4, CORDIC_top.cell1.\z_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
5, CORDIC_top.cell1.\z_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
6, CORDIC_top.cell1.\z_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
7, CORDIC_top.cell1.\z_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
8, CORDIC_top.cell1.\z_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
9, CORDIC_top.cell1.\z_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
10, CORDIC_top.cell1.\z_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
11, CORDIC_top.cell1.\x_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
12, CORDIC_top.cell1.\x_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
13, CORDIC_top.cell1.\x_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
14, CORDIC_top.cell1.\x_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
15, CORDIC_top.cell1.\x_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
16, CORDIC_top.cell1.\x_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
17, CORDIC_top.cell1.\x_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
18, CORDIC_top.cell1.\x_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
19, CORDIC_top.cell1.\y_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
20, CORDIC_top.cell1.\y_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
21, CORDIC_top.cell1.\y_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
22, CORDIC_top.cell1.\y_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
23, CORDIC_top.cell1.\y_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
24, CORDIC_top.cell1.\y_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
25, CORDIC_top.cell1.\y_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
26, CORDIC_top.cell1.\y_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->01_cnt(yy-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
27, CORDIC_top.cell2.\z_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
28, CORDIC_top.cell2.\z_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
29, CORDIC_top.cell2.\z_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
30, CORDIC_top.cell2.\z_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
31, CORDIC_top.cell2.\z_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
32, CORDIC_top.cell2.\z_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
33, CORDIC_top.cell2.\z_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
34, CORDIC_top.cell2.\z_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
35, CORDIC_top.cell2.\x_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
36, CORDIC_top.cell2.\x_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
37, CORDIC_top.cell2.\x_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
38, CORDIC_top.cell2.\x_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
39, CORDIC_top.cell2.\x_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
40, CORDIC_top.cell2.\x_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
41, CORDIC_top.cell2.\x_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
42, CORDIC_top.cell2.\x_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
43, CORDIC_top.cell2.\y_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
44, CORDIC_top.cell2.\y_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
45, CORDIC_top.cell2.\y_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
46, CORDIC_top.cell2.\y_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
47, CORDIC_top.cell2.\y_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
48, CORDIC_top.cell2.\y_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
